"","Strike","Last","Chg","Bid","Ask","Vol","OI","LastTradeTime","IV","ITM"
"AMC220304P00022000",22,4.69,-0.11000013,4.45,4.75,21,37,2022-02-25 15:27:34,1.54101791992187,TRUE
"AMC220304P00022500",22.5,5.61,0.36000013,4.95,5.65,2,18,2022-02-25 13:27:51,1.984375078125,TRUE
"AMC220304P00023000",23,5.58,-0.19000006,5.3,6.35,63,98,2022-02-25 15:56:29,2.12891092773437,TRUE
"AMC220304P00023500",23.5,6.55,0,5.85,6.15,25,29,2022-02-24 15:12:44,1.61328318359375,TRUE
"AMC220304P00024000",24,6.56,-0.13999987,6.45,6.75,103,68,2022-02-25 15:49:20,1.92578162109375,TRUE
"AMC220304P00024500",24.5,7.42,7.42,6.9,7.55,NA,11,2022-02-24 15:24:26,2.25781685546875,TRUE
"AMC220304P00025000",25,7.49,-0.41000032,7.45,8.3,53,178,2022-02-25 15:50:25,2.60351911621094,TRUE
"AMC220304P00026000",26,8.75,-1.2299995,8.4,8.7,18,63,2022-02-25 14:59:41,2.1406296484375,TRUE
"AMC220304P00026500",26.5,9.53,9.53,8.8,9.2,1,2,2022-02-25 12:54:25,2.0781298046875,TRUE
"AMC220304P00027000",27,9.91,-0.39000034,9.35,9.85,21,106,2022-02-25 14:50:41,2.41016022460937,TRUE
"AMC220304P00027500",27.5,11.71,11.71,9.8,10.1,NA,1,2022-02-23 13:17:22,2.05469236328125,TRUE
"AMC220304P00028000",28,10.42,-2.1000004,10.3,10.65,25,23,2022-02-25 15:54:31,2.2031294921875,TRUE
"AMC220304P00029000",29,11.94,-0.22000027,11.35,12,2,50,2022-02-25 13:12:51,2.86328409179688,TRUE
"AMC220304P00029500",29.5,12.65,12.65,11.85,12.45,3,0,2022-02-25 14:34:32,2.8750028125,TRUE
"AMC220304P00030000",30,12.78,-1.3200006,12.25,12.9,4,57,2022-02-25 15:05:31,2.75390936523438,TRUE
"AMC220304P00030500",30.5,13.53,13.53,12.85,13.45,1,0,2022-02-25 11:30:23,3.00390874023438,TRUE
"AMC220304P00031000",31,14.14,-0.80999947,13.3,13.55,15,16,2022-02-25 10:42:15,2.3593791015625,TRUE
"AMC220304P00032000",32,14.8,0.17000008,14.3,14.55,36,21,2022-02-25 14:59:39,2.46094134765625,TRUE
"AMC220304P00033000",33,15.92,-1.7000008,15.3,15.7,3,28,2022-02-25 11:00:29,2.86719033203125,TRUE
"AMC220304P00033500",33.5,16.6,16.6,15.8,16.1,1,0,2022-02-25 10:03:20,2.72656568359375,TRUE
"AMC220304P00034000",34,16.26,-1.1000004,16.3,16.85,1,6,2022-02-25 09:30:02,3.21093947265625,TRUE
"AMC220304P00035000",35,17.35,-0.27000046,17.25,17.55,30,52,2022-02-25 15:30:24,2.593753515625,TRUE
"AMC220304P00036000",36,18.63,-0.11000061,18.25,18.7,3,17,2022-02-25 12:33:19,3.06250234375,TRUE
"AMC220304P00037000",37,19.95,-1.8899994,19.25,19.75,1,28,2022-02-25 12:55:46,3.250001875,TRUE
"AMC220304P00038000",38,20.96,-0.7900009,20.3,20.8,5,9,2022-02-25 13:23:23,3.5156262109375,TRUE
"AMC220304P00039000",39,21.2,1.1400013,21.1,22.05,1,1,2022-02-25 09:30:02,3.68750078125,TRUE
"AMC220304P00040000",40,22.58,-1.1000004,22.05,22.85,129,76,2022-02-25 15:17:46,3.28906427734375,TRUE
"AMC220304P00045000",45,27.97,-1.1400013,27.2,27.9,11,30,2022-02-25 13:23:23,4.07812990234375,TRUE
